Variable,P04CHE3,PRSCHE3,C07MCF5,DEMENV5,P05CHE3,P09CHE3,M09MOD4,P07CHE3,T09MOD3,CRVMRG5,P06CHE3,C05MCF5,C12MCF5,EX6MOD5,M04MOD4,C11MCF5,MANMCF5,C03MCF5,B13CHE3,P10CHE3,C04MCF5,C01MCF5,C06MCF5,T08MOD3
P06CHE3,0.9094579176660479,0.8252560307267889,0.5447611006600448,0.5108405767238223,0.9763760038633446,0.9660308468344461,-0.5227689738065247,0.9818532599589425,-0.6924798405897429,-0.32177192971777885,1,0.6536907843092312,-0.08466089903060113,0.006792040234243988,-0.4586400550781485,0.34118748530075976,0.4814956515362767,0.51195618657022,0.23257100142739878,0.7676230487512833,0.5505655514935681,-0.13811920966709368,0.5264151816430546,-0.6431775144780443
C05MCF5,0.6963406612278867,0.6664208540780246,0.9025277663789651,0.4944513620938966,0.6566256813999204,0.5770066695439672,-0.5375873600437474,0.62179595374935,-0.7137081721741716,-0.3534309737211306,0.6536907843092312,1,0.10824044046297661,0.12177084278661572,-0.42908133842366003,0.4299970545254794,0.8204054838452666,0.5768931816440441,0.37259542476860535,0.6233958612547968,0.7687673227322007,-0.059906074753903256,0.9316881310964085,-0.6871304555971327
C12MCF5,0.002934225178994579,0.30701068102281676,0.13248522995670706,0.39660748224892267,-0.11691302475621648,-0.004370528198566174,-0.14809668788427907,-0.03956754922934656,0.018990004514141935,-0.09209762409551793,-0.08466089903060113,0.10824044046297661,1,0.07985554613894683,-0.21842397910759312,0.6984591787905683,0.577035691934745,0.4823237644037066,0.45540489958264074,0.049044433173561656,0.3854869648051317,0.8977701800220216,0.08678950969394586,0.04150758200520008
EX6MOD5,0.12817122915126725,-0.08925816430239923,0.11236999272125213,-0.27358566477901913,0.0905954421629864,-0.051725181054320474,-0.4248998729934494,-0.045013097343837113,-0.08261515334589695,-0.011279559179403686,0.006792040234243988,0.12177084278661572,0.07985554613894683,1,-0.4726936289655834,0.044404030205307386,0.12335136671845366,0.19398707611982063,-0.22601899577540374,-0.048268870736957216,0.07086164694789975,0.04560397636102004,0.13345977609631393,-0.06017756247699398
M04MOD4,-0.5144978204176509,-0.34885658068609965,-0.38392211685884653,-0.2398934151435857,-0.460533039819853,-0.3923941682644385,0.919284070635998,-0.4058924007736433,0.42947684799864205,0.2750389532262999,-0.4586400550781485,-0.42908133842366003,-0.21842397910759312,-0.4726936289655834,1,-0.32068406930221727,-0.45284443370668886,-0.4525762460785858,0.09119549309203229,-0.23690572313604785,-0.383905969703074,-0.22515552382272594,-0.3716055624580566,0.41883745565663777
C11MCF5,0.383075564326098,0.5653000169552035,0.4183884427416675,0.6899842509901075,0.2925471218381629,0.39253552058888613,-0.28556303341791867,0.3887094463505654,-0.2598857192293565,-0.26494730335204086,0.34118748530075976,0.4299970545254794,0.6984591787905683,0.044404030205307386,-0.32068406930221727,1,0.7491692022914771,0.7024518930062652,0.4248881991464326,0.36095437113924855,0.674288287167254,0.566637630082816,0.33437716772311094,-0.20206369319646286
MANMCF5,0.53137184468532,0.6945039212099879,0.8174508617314273,0.5869204402487729,0.45787327487159535,0.47272027027592683,-0.5052833798707138,0.4840457602556421,-0.5265486566753094,-0.3365713448675072,0.4814956515362767,0.8204054838452666,0.577035691934745,0.12335136671845366,-0.45284443370668886,0.7491692022914771,1,0.8125405207055827,0.517992845031619,0.48264357258975565,0.9036669420450996,0.4495387850080744,0.7580893371058346,-0.46327993756581415
C03MCF5,0.5429924553399921,0.5954182346123467,0.4826053528392598,0.393671371577316,0.516957034767575,0.5204333239905282,-0.4277164703746374,0.49731670302644904,-0.3226263114591776,-0.25108530913471316,0.51195618657022,0.5768931816440441,0.4823237644037066,0.19398707611982063,-0.4525762460785858,0.7024518930062652,0.8125405207055827,1,0.27932528829790687,0.3686605957272706,0.8502214044320072,0.44283490191977,0.4150139796987494,-0.21406890289274955
B13CHE3,0.18234972461639914,0.6942422528444436,0.40065185609620946,0.5089448656836639,0.16879116943841224,0.33464107882873506,-0.028980910989581728,0.31941762163959486,-0.318801394880031,-0.16914340567545938,0.23257100142739878,0.37259542476860535,0.45540489958264074,-0.22601899577540374,0.09119549309203229,0.4248881991464326,0.517992845031619,0.27932528829790687,1,0.5745294801297249,0.41808479912887875,0.4086244226293393,0.33970577963489185,-0.2823751370842419
P10CHE3,0.7946899172659396,0.8392684693945995,0.5363431848144459,0.5206956886858936,0.7704288073630927,0.8103054520957113,-0.34876885331585455,0.8066002291040241,-0.6272800320230595,-0.1822032960019625,0.7676230487512833,0.6233958612547968,0.049044433173561656,-0.048268870736957216,-0.23690572313604785,0.36095437113924855,0.48264357258975565,0.3686605957272706,0.5745294801297249,1,0.4739718695722817,-0.07158061911365408,0.5776789171151865,-0.6182376128303105
C04MCF5,0.5624201261068551,0.6725727395559147,0.7396374217267392,0.5015314217080741,0.5208206051692846,0.5185187800187329,-0.41958942735930566,0.5338533584948326,-0.46811547696373895,-0.3286312779589086,0.5505655514935681,0.7687673227322007,0.3854869648051317,0.07086164694789975,-0.383905969703074,0.674288287167254,0.9036669420450996,0.8502214044320072,0.41808479912887875,0.4739718695722817,1,0.28515291957284244,0.6702922720923407,-0.3719984849368312
C01MCF5,-0.13018868160906064,0.2384804157763884,-0.008262400561588314,0.23721383887227562,-0.18117224304188043,-0.027628152125192203,-0.12887729483930227,-0.08566306539888051,0.1438281657255399,-0.06676528601339486,-0.13811920966709368,-0.059906074753903256,0.8977701800220216,0.04560397636102004,-0.22515552382272594,0.566637630082816,0.4495387850080744,0.44283490191977,0.4086244226293393,-0.07158061911365408,0.28515291957284244,1,-0.10516324158703223,0.18564410346312935
C06MCF5,0.6195787409375516,0.5615605022489648,0.9253676789716999,0.4491847416394371,0.5450480485184187,0.44083350742706556,-0.5289145343369405,0.4899022080389309,-0.7361850185600554,-0.2663646357816197,0.5264151816430546,0.9316881310964085,0.08678950969394586,0.13345977609631393,-0.3716055624580566,0.33437716772311094,0.7580893371058346,0.4150139796987494,0.33970577963489185,0.5776789171151865,0.6702922720923407,-0.10516324158703223,1,-0.7308111681850237
